"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2020;1;15;15/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.10";"28.90";"15.20";"69.00";"34.00";"46.00";"15.00";"0.00";"13.00";"0.00";"5.92"
2020;1;15;15/01/20;"Sarco";-66,175556;-17,384167;2587;"1.10";"32.00";"14.40";"67.00";"28.00";"42.00";"15.80";"0.00";"14.00";"0.00";"6.90"
2020;1;16;16/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.40";"14.70";"61.00";"39.00";"51.00";"18.00";"5.00";"15.00";"7.00";"5.55"
2020;1;16;16/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.00";"15.50";"64.00";"49.00";"56.00";"40.80";"3.70";"16.00";"16.00";"6.48"
2020;1;17;17/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"7.30";"26.20";"12.00";"89.00";"30.00";"54.00";"11.00";"0.00";"10.00";"0.00";"5.57"
2020;1;17;17/01/20;"Sarco";-66,175556;-17,384167;2587;"15.40";"29.50";"11.10";"80.00";"33.00";"52.00";"0.00";"0.00";"0.00";"0.00";"6.55"
2020;1;18;18/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.90";"13.00";"36.00";"28.00";"31.00";"11.00";"0.00";"12.00";"0.00";"5.92"
2020;1;18;18/01/20;"Sarco";-66,175556;-17,384167;2587;"0.90";"30.00";"13.50";;;;"0.00";"0.00";"0.00";"0.00";"6.44"
2020;1;19;19/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.50";"15.70";"61.00";"31.00";"43.00";"15.00";"5.00";"16.00";"10.00";"5.42"
2020;1;19;19/01/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.20";"12.20";;;;"0.00";"0.00";"0.00";"0.00";"7.16"
2020;1;20;20/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"4.10";"27.80";"15.00";"58.00";"35.00";"43.00";"9.00";"7.00";"13.00";"12.00";"5.61"
2020;1;20;20/01/20;"Sarco";-66,175556;-17,384167;2587;"0.50";"30.50";"14.50";"35.00";"28.00";"31.00";"3.70";"0.00";"10.00";"0.00";"6.45"
2020;1;21;21/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.20";"26.60";"14.50";"87.00";"37.00";"65.00";"9.00";"5.00";"12.00";"1.00";"5.33"
2020;1;21;21/01/20;"Sarco";-66,175556;-17,384167;2587;"2.40";"29.50";"14.00";"89.00";"41.00";"57.00";"0.00";"0.00";"0.00";"0.00";"6.22"
2020;1;22;22/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.80";"21.80";"15.40";"95.00";"52.00";"81.00";"11.00";"0.00";"13.00";"0.00";"3.68"
2020;1;22;22/01/20;"Sarco";-66,175556;-17,384167;2587;"15.40";"24.40";"12.50";;;;"0.00";"0.00";"0.00";"0.00";"5.00"
2020;1;23;23/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.50";"12.40";"88.00";"33.00";"53.00";"11.00";"0.00";"13.00";"0.00";"5.86"
2020;1;23;23/01/20;"Sarco";-66,175556;-17,384167;2587;"7.10";"30.50";"12.00";"74.00";"31.00";"46.00";"9.30";"0.00";"8.00";"0.00";"6.70"
2020;1;24;24/01/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.90";"15.30";"55.00";"26.00";"39.00";"22.00";"5.00";"15.00";"1.00";"5.58"
