"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2010;1;1;01/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.90";"14.20";"73.00";"38.00";"52.00";"22.20";"7.40";"7.00";"15.00";"6.08"
2010;1;1;01/01/10;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.00";"16.00";"64.00";"49.00";"55.00";"0.00";"0.00";"0.00";"0.00";"6.16"
2010;1;2;02/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.30";"26.60";"16.40";"73.00";"48.00";"58.00";"18.50";"11.10";"4.00";"5.00";"5.06"
2010;1;2;02/01/10;"Sarco";-66,175556;-17,384167;2587;"2.00";"29.80";"16.00";"68.00";"32.00";"52.00";"0.00";"0.00";"0.00";"0.00";"6.10"
2010;1;3;03/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"5.00";"22.70";"13.50";"91.00";"58.00";"79.00";"14.80";"7.40";"7.00";"12.00";"4.39"
2010;1;3;03/01/10;"Sarco";-66,175556;-17,384167;2587;"3.40";"24.50";"14.80";"84.00";"46.00";"61.00";"0.00";"0.00";"0.00";"0.00";"4.70"
2010;1;4;04/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.80";"13.50";"95.00";"41.00";"65.00";"13.00";"0.00";"12.00";"0.00";"5.58"
2010;1;4;04/01/10;"Sarco";-66,175556;-17,384167;2587;"0.00";"28.00";"14.50";"70.00";"50.00";"58.00";"9.30";"0.00";"16.00";"0.00";"5.78"
2010;1;5;05/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"31.10";"12.00";"75.00";"30.00";"46.00";"9.30";"0.00";"11.00";"0.00";"6.93"
2010;1;5;05/01/10;"Sarco";-66,175556;-17,384167;2587;"0.00";"33.50";"14.50";"62.00";"31.00";"46.00";"9.30";"3.70";"10.00";"14.00";"7.34"
2010;1;6;06/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"31.70";"13.60";"62.00";"25.00";"39.00";"25.90";"0.00";"6.00";"0.00";"6.93"
2010;1;6;06/01/10;"Sarco";-66,175556;-17,384167;2587;"0.00";"34.00";"16.50";;;;"0.00";"0.00";"0.00";"0.00";"7.25"
2010;1;7;07/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.20";"26.40";"16.00";"73.00";"49.00";"58.00";"7.40";"5.60";"15.00";"11.00";"5.07"
2010;1;7;07/01/10;"Sarco";-66,175556;-17,384167;2587;"1.40";"28.50";"17.00";"73.00";"21.00";"49.00";"15.80";"0.00";"2.00";"0.00";"5.54"
2010;1;8;08/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.10";"13.70";"89.00";"48.00";"62.00";"5.60";"0.00";"3.00";"0.00";"5.35"
2010;1;8;08/01/10;"Sarco";-66,175556;-17,384167;2587;"0.00";"26.00";"14.50";"73.00";"42.00";"53.00";"15.80";"0.00";"6.00";"0.00";"5.20"
2010;1;9;09/01/10;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.10";"14.50";"78.00";"48.00";"59.00";"22.20";"7.40";"9.00";"11.00";"4.93"
2010;1;9;09/01/10;"Sarco";-66,175556;-17,384167;2587;"0.30";"25.00";"17.00";"74.00";"44.00";"63.00";"0.00";"0.00";"0.00";"0.00";"4.42"
