"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2000;1;1;01/01/00;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.40";"13.50";"87.00";"42.00";"58.00";"18.50";"0.00";"6.00";"0.00";"5.75"
2000;1;1;01/01/00;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.00";"14.00";;;;;;;;"5.57"
2000;1;2;02/01/00;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.10";"29.50";"12.00";"67.00";"28.00";"45.00";"33.40";"0.00";"6.00";"0.00";"6.50"
2000;1;2;02/01/00;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.00";"14.00";;;;;;;;"6.42"
2000;1;3;03/01/00;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.00";"13.80";"60.00";"41.00";"52.00";"37.10";"0.00";"14.00";"0.00";"5.59"
2000;1;3;03/01/00;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"15.00";;;;;;;;"6.00"
2000;1;4;04/01/00;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"8.60";"28.40";"11.80";"67.00";"36.00";"51.00";"11.10";"0.00";"2.00";"0.00";"6.22"
2000;1;4;04/01/00;"Sarco";-66,175556;-17,384167;2587;"17.40";"29.00";"13.00";;;;;;;;"6.25"
2000;1;5;05/01/00;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.70";"25.60";"11.40";"89.00";"40.00";"58.00";"18.50";"0.00";"6.00";"0.00";"5.51"
2000;1;5;05/01/00;"Sarco";-66,175556;-17,384167;2587;"4.00";"27.00";"12.00";;;;;;;;"5.82"
