"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2015;1;1;01/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.80";"11.40";"55.00";"33.00";"42.00";"13.00";"0.00";"11.00";"0.00";"6.38"
2015;1;1;01/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"17.00";"54.00";"35.00";"42.00";"0.00";"0.00";"0.00";"0.00";"5.70"
2015;1;2;02/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"25.60";"26.00";"14.40";"66.00";"41.00";"51.00";"7.40";"5.60";"10.00";"6.00";"5.22"
2015;1;2;02/01/15;"Sarco";-66,175556;-17,384167;2587;"20.00";"29.00";"17.00";"62.00";"38.00";"46.00";"0.00";"0.00";"0.00";"0.00";"5.70"
2015;1;3;03/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.50";"24.20";"11.20";"94.00";"49.00";"65.00";"5.60";"5.60";"2.00";"2.00";"5.16"
2015;1;3;03/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"25.00";"17.00";"51.00";"46.00";"48.00";"0.00";"0.00";"0.00";"0.00";"4.42"
2015;1;4;04/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.40";"10.40";"68.00";"32.00";"54.00";"33.40";"0.00";"14.00";"0.00";"6.36"
2015;1;4;04/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"13.00";"82.00";"39.00";"56.00";"7.40";"0.00";"6.00";"0.00";"6.26"
2015;1;5;05/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.80";"13.50";"71.00";"37.00";"51.00";"14.80";"0.00";"11.00";"0.00";"5.29"
2015;1;5;05/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.00";"14.00";"71.00";"37.00";"51.00";"15.80";"0.00";"14.00";"0.00";"5.56"
2015;1;6;06/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.30";"28.40";"12.80";"74.00";"39.00";"56.00";"22.20";"0.00";"6.00";"0.00";"6.11"
2015;1;6;06/01/15;"Sarco";-66,175556;-17,384167;2587;"1.70";"29.00";"15.00";"67.00";"30.00";"48.00";"15.80";"0.00";"14.00";"0.00";"6.00"
2015;1;7;07/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.40";"12.60";"74.00";"33.00";"48.00";"14.80";"0.00";"16.00";"0.00";"5.86"
2015;1;7;07/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.00";"15.00";"54.00";"35.00";"43.00";"0.00";"0.00";"0.00";"0.00";"5.41"
2015;1;8;08/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"3.80";"22.30";"14.40";"83.00";"71.00";"76.00";"14.80";"0.00";"12.00";"0.00";"4.09"
2015;1;8;08/01/15;"Sarco";-66,175556;-17,384167;2587;"5.50";"23.00";"16.00";"76.00";"47.00";"64.00";"9.30";"0.00";"14.00";"0.00";"3.97"
2015;1;9;09/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"6.80";"25.80";"12.70";"87.00";"40.00";"59.00";"9.30";"0.00";"16.00";"0.00";"5.40"
2015;1;9;09/01/15;"Sarco";-66,175556;-17,384167;2587;"8.50";"25.00";"15.00";"73.00";"40.00";"55.00";"0.00";"0.00";"0.00";"0.00";"4.81"
2015;1;10;10/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"9.40";"23.00";"12.50";"91.00";"52.00";"68.00";"14.80";"5.60";"13.00";"16.00";"4.64"
2015;1;10;10/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"24.00";"14.00";"81.00";"50.00";"61.00";"15.80";"0.00";"2.00";"0.00";"4.68"
2015;1;11;11/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"15.80";"25.50";"12.30";"74.00";"42.00";"55.00";"11.10";"0.00";"14.00";"0.00";"5.36"
2015;1;11;11/01/15;"Sarco";-66,175556;-17,384167;2587;"31.00";"27.00";"15.00";"67.00";"41.00";"51.00";"15.80";"0.00";"6.00";"0.00";"5.41"
2015;1;12;12/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.20";"21.60";"10.00";"92.00";"53.00";"66.00";"9.30";"7.40";"14.00";"6.00";"4.60"
2015;1;12;12/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"23.00";"11.00";"82.00";"50.00";"65.00";"9.30";"0.00";"6.00";"0.00";"4.85"
2015;1;13;13/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.30";"12.20";"79.00";"51.00";"61.00";"18.50";"0.00";"12.00";"0.00";"5.32"
2015;1;13;13/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"26.00";"14.00";"71.00";"38.00";"50.00";"0.00";"0.00";"0.00";"0.00";"5.26"
2015;1;14;14/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"6.20";"26.60";"11.40";"75.00";"32.00";"60.00";"22.20";"5.60";"16.00";"10.00";"5.76"
2015;1;14;14/01/15;"Sarco";-66,175556;-17,384167;2587;"12.50";"28.00";"13.50";"75.00";"32.00";"57.00";"15.80";"0.00";"14.00";"0.00";"5.90"
2015;1;15;15/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.30";"21.30";"11.80";"78.00";"56.00";"63.00";"7.40";"0.00";"15.00";"0.00";"4.25"
2015;1;15;15/01/15;"Sarco";-66,175556;-17,384167;2587;"7.60";"21.00";"13.00";"84.00";"63.00";"75.00";"0.00";"0.00";"0.00";"0.00";"3.95"
2015;1;16;16/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"18.40";"22.20";"12.60";"90.00";"67.00";"82.00";"5.60";"0.00";"12.00";"0.00";"4.38"
2015;1;16;16/01/15;"Sarco";-66,175556;-17,384167;2587;"20.00";"22.00";"13.00";"80.00";"66.00";"71.00";"15.80";"0.00";"2.00";"0.00";"4.25"
2015;1;17;17/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"6.40";"23.60";"11.80";"95.00";"53.00";"68.00";"9.30";"7.40";"7.00";"6.00";"4.89"
2015;1;17;17/01/15;"Sarco";-66,175556;-17,384167;2587;"2.00";"25.00";"13.00";"80.00";"50.00";"62.00";"0.00";"0.00";"0.00";"0.00";"5.11"
2015;1;18;18/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"3.30";"24.40";"12.10";"84.00";"51.00";"71.00";"9.30";"0.00";"10.00";"0.00";"5.07"
2015;1;18;18/01/15;"Sarco";-66,175556;-17,384167;2587;"12.00";"25.00";"13.00";"79.00";"47.00";"68.00";"15.80";"0.00";"6.00";"0.00";"5.11"
2015;1;19;19/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"21.10";"26.00";"12.10";"91.00";"40.00";"65.00";"22.20";"0.00";"12.00";"0.00";"5.50"
2015;1;19;19/01/15;"Sarco";-66,175556;-17,384167;2587;"20.00";"21.00";"13.00";"86.00";"66.00";"78.00";"0.00";"0.00";"0.00";"0.00";"3.94"
2015;1;20;20/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"24.10";"12.20";"87.00";"49.00";"65.00";"18.50";"0.00";"4.00";"0.00";"4.97"
2015;1;20;20/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"25.00";"13.00";"82.00";"45.00";"58.00";"23.20";"0.00";"14.00";"0.00";"5.10"
2015;1;21;21/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"24.40";"12.00";"84.00";"37.00";"56.00";"25.90";"0.00";"6.00";"0.00";"5.07"
2015;1;21;21/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"26.00";"14.00";"72.00";"72.00";"72.00";"0.00";"0.00";"0.00";"0.00";"5.24"
2015;1;22;22/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.20";"22.60";"14.40";"68.00";"45.00";"55.00";"7.40";"5.60";"9.00";"12.00";"4.16"
2015;1;22;22/01/15;"Sarco";-66,175556;-17,384167;2587;"2.20";"25.00";"15.00";"66.00";"50.00";"55.00";"0.00";"0.00";"0.00";"0.00";"4.78"
2015;1;23;23/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.40";"12.00";"75.00";"35.00";"49.00";"27.80";"0.00";"6.00";"0.00";"5.61"
2015;1;23;23/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"28.00";"15.00";"68.00";"35.00";"47.00";"23.20";"0.00";"2.00";"0.00";"5.66"
2015;1;24;24/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"10.90";"26.20";"15.00";"77.00";"39.00";"56.00";"16.70";"0.00";"14.00";"0.00";"5.13"
2015;1;24;24/01/15;"Sarco";-66,175556;-17,384167;2587;"8.90";"27.00";"17.00";"62.00";"39.00";"48.00";"15.80";"0.00";"6.00";"0.00";"5.02"
2015;1;25;25/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.60";"24.60";"10.10";"91.00";"41.00";"60.00";"9.30";"9.30";"7.00";"7.00";"5.34"
2015;1;25;25/01/15;"Sarco";-66,175556;-17,384167;2587;"3.90";"27.00";"12.00";"81.00";"31.00";"52.00";"0.00";"0.00";"0.00";"0.00";"5.76"
2015;1;26;26/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.10";"11.20";"74.00";"36.00";"51.00";"22.20";"0.00";"6.00";"0.00";"5.61"
2015;1;26;26/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"28.00";"15.00";"65.00";"25.00";"43.00";"15.80";"0.00";"6.00";"0.00";"5.65"
2015;1;27;27/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.00";"10.10";"64.00";"29.00";"42.00";"33.40";"0.00";"7.00";"0.00";"6.21"
2015;1;27;27/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.00";"16.00";"60.00";"35.00";"47.00";"15.80";"0.00";"14.00";"0.00";"6.08"
2015;1;28;28/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.30";"28.00";"11.40";"63.00";"32.00";"46.00";"14.80";"0.00";"8.00";"0.00";"6.08"
2015;1;28;28/01/15;"Sarco";-66,175556;-17,384167;2587;"0.50";"30.00";"15.00";"61.00";"29.00";"47.00";"23.20";"0.00";"14.00";"0.00";"6.21"
2015;1;29;29/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"12.70";"20.90";"12.90";"93.00";"62.00";"75.00";"14.80";"0.00";"13.00";"0.00";"3.90"
2015;1;29;29/01/15;"Sarco";-66,175556;-17,384167;2587;"7.00";"22.00";"14.00";"74.00";"51.00";"62.00";"0.00";"0.00";"0.00";"0.00";"4.02"
2015;1;30;30/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.50";"21.70";"13.00";"87.00";"66.00";"78.00";"11.10";"0.00";"12.00";"0.00";"4.12"
2015;1;30;30/01/15;"Sarco";-66,175556;-17,384167;2587;"3.00";"24.00";"13.00";"78.00";"50.00";"67.00";"0.00";"0.00";"0.00";"0.00";"4.78"
2015;1;31;31/01/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"14.00";"21.90";"13.00";"79.00";"61.00";"70.00";"11.10";"7.40";"9.00";"13.00";"4.17"
2015;1;31;31/01/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"22.00";"15.00";"86.00";"55.00";"66.00";"0.00";"0.00";"0.00";"0.00";"3.81"
2015;2;1;01/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.00";"10.00";"79.00";"34.00";"52.00";"16.70";"0.00";"4.00";"0.00";"5.93"
2015;2;1;01/02/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.00";"13.00";"60.00";"30.00";"43.00";"0.00";"0.00";"0.00";"0.00";"5.60"
2015;2;2;02/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.20";"12.60";"79.00";"36.00";"51.00";"7.40";"5.60";"4.00";"9.00";"5.43"
2015;2;2;02/02/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"28.00";"16.00";"66.00";"36.00";"47.00";"15.80";"0.00";"2.00";"0.00";"5.45"
2015;2;3;03/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.50";"12.40";"75.00";"35.00";"51.00";"13.00";"5.60";"4.00";"11.00";"5.80"
2015;2;3;03/02/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.00";"15.00";"62.00";"36.00";"46.00";"15.80";"0.00";"6.00";"0.00";"5.88"
2015;2;4;04/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.80";"12.60";"74.00";"40.00";"55.00";"7.40";"0.00";"4.00";"0.00";"5.58"
2015;2;4;04/02/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"28.00";"17.00";"68.00";"35.00";"48.00";"3.70";"0.00";"2.00";"0.00";"5.27"
2015;2;5;05/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"8.20";"26.30";"12.80";"78.00";"37.00";"52.00";"7.40";"5.60";"13.00";"10.00";"5.41"
2015;2;5;05/02/15;"Sarco";-66,175556;-17,384167;2587;"11.30";"28.00";"16.50";"63.00";"34.00";"45.00";"15.80";"0.00";"2.00";"0.00";"5.35"
2015;2;6;06/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.30";"20.30";"11.50";"96.00";"50.00";"68.00";"7.40";"5.60";"9.00";"7.00";"3.93"
2015;2;6;06/02/15;"Sarco";-66,175556;-17,384167;2587;"5.00";"21.00";"13.00";"85.00";"50.00";"65.00";"15.80";"0.00";"6.00";"0.00";"3.87"
2015;2;7;07/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"3.80";"23.70";"13.60";"74.00";"43.00";"60.00";"11.10";"7.40";"12.00";"15.00";"4.55"
2015;2;7;07/02/15;"Sarco";-66,175556;-17,384167;2587;"1.30";"25.00";"14.00";"72.00";"36.00";"57.00";"15.80";"0.00";"6.00";"0.00";"4.86"
2015;2;8;08/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"27.20";"10.10";"87.00";"37.00";"57.00";"11.10";"0.00";"13.00";"0.00";"5.92"
2015;2;8;08/02/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.00";"14.00";"34.00";"31.00";"32.00";"0.00";"0.00";"0.00";"0.00";"5.42"
2015;2;9;09/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.10";"26.90";"14.60";"71.00";"35.00";"50.00";"7.40";"0.00";"12.00";"0.00";"5.30"
2015;2;9;09/02/15;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.00";"16.00";"68.00";"36.00";"49.00";"9.30";"0.00";"6.00";"0.00";"5.11"
2015;2;10;10/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"3.60";"24.40";"13.80";"79.00";"56.00";"64.00";"11.10";"0.00";"12.00";"0.00";"4.70"
2015;2;10;10/02/15;"Sarco";-66,175556;-17,384167;2587;"2.50";"26.00";"16.00";"83.00";"48.00";"60.00";"9.30";"0.00";"2.00";"0.00";"4.80"
2015;2;11;11/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.60";"21.00";"12.00";"92.00";"61.00";"74.00";"11.10";"0.00";"2.00";"0.00";"4.02"
2015;2;11;11/02/15;"Sarco";-66,175556;-17,384167;2587;"2.60";"22.00";"13.00";"80.00";"46.00";"60.00";"9.30";"0.00";"14.00";"0.00";"4.14"
2015;2;12;12/02/15;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"26.80";"13.80";"91.00";"49.00";"68.00";"7.40";"0.00";"13.00";"0.00";"5.36"
