"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2005;1;1;01/01/05;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.50";"25.70";"12.40";"91.00";"50.00";"65.00";"7.40";"0.00";"10.00";"0.00";"5.42"
2005;1;1;01/01/05;"Sarco";-66,175556;-17,384167;2587;"10.00";"26.00";"14.00";"89.00";"60.00";"77.00";"3.70";"0.00";"8.00";"0.00";"5.28"
2005;1;2;02/01/05;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"14.10";"24.30";"14.30";"100.00";"65.00";"77.00";"25.90";"9.30";"6.00";"2.00";"4.73"
2005;1;2;02/01/05;"Sarco";-66,175556;-17,384167;2587;"6.10";"25.70";"13.00";"90.00";"43.00";"63.00";"3.70";"0.00";"12.00";"0.00";"5.34"
2005;1;3;03/01/05;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.30";"12.60";"91.00";"46.00";"63.00";"9.30";"0.00";"14.00";"0.00";"5.28"
2005;1;3;03/01/05;"Sarco";-66,175556;-17,384167;2587;"0.00";"26.80";"12.40";"78.00";"45.00";"58.00";"3.70";"0.00";"6.00";"0.00";"5.72"
2005;1;4;04/01/05;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"28.00";"13.00";"68.00";"34.00";"48.00";"11.10";"0.00";"6.00";"0.00";"5.98"
2005;1;4;04/01/05;"Sarco";-66,175556;-17,384167;2587;"0.00";"29.20";"13.10";"61.00";"32.00";"43.00";"0.00";"0.00";"0.00";"0.00";"6.30"
2005;1;5;05/01/05;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.40";"10.40";"67.00";"37.00";"52.00";"0.00";"0.00";"0.00";"0.00";"6.62"
2005;1;5;05/01/05;"Sarco";-66,175556;-17,384167;2587;"0.00";"31.00";"11.10";"43.00";"26.00";"34.00";"9.30";"0.00";"14.00";"0.00";"6.98"
